Account#,Sample#,Date_Processed,Sampled_By,Sampled_For,Description1,Product_Type,Test_Mode,Moisture,Dry_Matter,pH,CP,AD-ICP,ND-ICP_w/oNa2SO3,ND-ICP_w/Na2SO3,SP%CP,ADF,aNDF,aNDFom,Lignin,uNDFom48,NDFD48,uNDFom240,NDFD240,WSC(Sugar),ESC(Sugar),Starch,EE(Fat),TFA(Fat),Ash,Ca,P,Mg,K,S,Adj_CP,NFC,TDN_ADF,NEL3x_ADF,NEG_ADF,NEM_ADF,TDN_OARDC,NEL3x_OARDC,NEG_OARDC,NEM_OARDC,TDN_Milk2013,NEL3x_Milk2013,NEM_Milk2013,NEG_Milk2013,Milk/Ton_Milk2013,RFV,RFQ
7592,00116060046533,6/23/2016,Cornell University,MUSGRAVE 814,B4 Date5 Blk2,7,N9,9.19,90.81,5.56,13.9,0.48,2.22,1.93,50.36,37.28,63.47,60.33,4.64,21.49,64.38,12.78,78.82,7.82,3.61,2,2.25,0.95,9.14,0.31,0.39,0.2,3.01,0.18,13.9,16.61,64.65,66.54,27.51,52.98,57.56,58.65,31.97,57.85,54.65,62.76,53.42,27.91,2882,87.7,105.32
7592,00116060046534,6/23/2016,Cornell University,MUSGRAVE 815,B4 Date5 Blk3,7,N9,8.97,91.03,5.71,16.22,0.51,2.6,2.1,52.53,33.9,59.68,56.41,4.05,17.31,69.31,11.13,80.27,8.84,4.05,1.32,2.34,0.95,9.35,0.34,0.4,0.21,3.34,0.21,16.22,18.17,65.69,67.7,29.77,55.45,59.52,60.83,35.52,61.75,58.37,65.19,59.86,33.81,3077,97.37,125.66
7592,00116060046535,6/23/2016,Cornell University,MUSGRAVE 816,B4 Date5 Blk4,7,N9,8.25,91.75,5.68,13.49,0.57,2.16,2.03,48.04,35.07,62.03,60.43,4.18,21.28,64.79,14.04,76.77,9.38,4.24,2.26,2.11,0.91,8.88,0.29,0.35,0.18,2.99,0.18,13.49,17.32,65.33,67.3,27.95,53.46,58.44,59.63,32.91,58.87,55.07,63.15,53.84,28.3,2910,92.13,110.05
7592,00116060046536,6/23/2016,Cornell University,MUSGRAVE 817,B4 Date6 Blk1,7,N9,8.99,91.01,5.35,11.18,0.47,1.79,1.6,47.76,35.32,59.68,58.8,4.75,20.36,65.37,16.39,72.13,12.41,6.22,4.64,2.19,1.14,7.81,0.28,0.32,0.17,2.63,0.15,11.18,21.67,65.25,67.21,28.1,53.62,59.21,60.48,32.97,58.94,57.33,65.78,56.11,30.38,3084,95.65,119.06
7592,00116060046537,6/23/2016,Cornell University,MUSGRAVE 818,B4 Date6 Blk2,7,N9,8.61,91.39,5.35,11.15,0.55,1.78,1.67,48.43,36.55,61.28,59.51,4.94,22.72,61.82,15.85,73.37,11.99,6.85,3.26,2.16,1.06,8.59,0.3,0.32,0.17,2.71,0.15,11.15,20.36,64.87,66.79,27.45,52.92,57.76,58.87,31,56.79,54.52,63.61,51.98,26.59,2916,91.82,105.2
7592,00116060046538,6/23/2016,Cornell University,MUSGRAVE 819,B4 Date6 Blk3,7,N9,8.87,91.13,5.49,12.97,0.61,2.08,1.75,53.66,36.51,61.27,57.85,4.74,21.14,63.46,13.8,76.15,10.05,6.4,2.2,2.06,0.78,9.77,0.34,0.35,0.2,2.97,0.17,12.97,19.38,64.88,66.8,28.07,53.59,57.06,58.09,30.82,56.59,54.51,62.62,52.78,27.32,2865,91.86,106.17
7592,00116060046539,6/23/2016,Cornell University,MUSGRAVE 820,B4 Date6 Blk4,7,N9,8.88,91.12,5.32,10.3,0.46,1.65,1.54,46.6,35.8,60.13,58.81,4.87,21.24,63.88,16.27,72.33,13.32,6.05,4.26,2.24,1.2,7.99,0.28,0.3,0.17,2.57,0.14,10.3,22.24,65.1,67.04,27.61,53.09,58.88,60.12,32.16,58.06,56.54,65.36,54.58,28.98,3045,94.59,113.94
7592,00116060046540,6/23/2016,Cornell University,MUSGRAVE 821,B4 Date7 Blk1,7,N9,8.25,91.75,5.69,11.61,0.57,1.86,1.93,36.61,33.79,56.01,54.4,5.12,20.35,62.59,17.56,67.72,13.41,6.98,5.9,2.46,1.52,7.9,0.3,0.3,0.18,2.46,0.16,11.61,25.5,65.73,67.74,29.68,55.34,60.24,61.63,34.48,60.61,58.63,67.97,58.23,32.32,3203,103.81,121.96
7592,00116060046541,6/23/2016,Cornell University,MUSGRAVE 822,B4 Date7 Blk2,7,N9,8.79,91.21,5.5,9.4,0.55,1.5,1.54,34.15,33.34,53.1,51.58,5.34,19.34,62.5,15.75,69.46,14.98,8.01,8.56,2.45,1.59,7.01,0.3,0.27,0.18,2.26,0.13,9.4,30.96,65.86,67.89,30.1,55.8,61.56,63.1,35.25,61.45,60.82,70.57,60.38,34.28,3370,110.25,132.04
7592,00116060046542,6/23/2016,Cornell University,MUSGRAVE 823,B4 Date Blk3,7,N9,8.64,91.36,5.72,11.71,0.6,1.87,1.94,36.29,34.09,55.16,53.58,5.35,19.65,63.33,14.73,72.51,13.56,7,5.95,2.34,1.48,8.2,0.34,0.3,0.19,2.51,0.16,11.71,25.97,65.63,67.63,30.05,55.75,59.75,61.09,33.88,59.94,58.99,68.04,58.78,32.82,3214,105.35,125.78
