"","Year","State","Site","Species","Cultivar","GS.Zadoks","Sampling.date","Block","YIELD.Mg.ha","CP","ADF","aNDF","NDFD48","RFQ.x","Account.","Sample.","Date_Processed","Sampled_By","Sampled_For","Description1","Product_Type","Test_Mode","Moisture","Dry_Matter","pH","AD.ICP","ND.ICP_w.oNa2SO3","ND.ICP_w.Na2SO3","SP.CP","aNDFom","Lignin","uNDFom48","uNDFom240","NDFD240","WSC.Sugar.","ESC.Sugar.","Starch","EE.Fat.","TFA.Fat.","Ash","Ca","P","Mg","K","S","Adj_CP","NFC","TDN_ADF","NEL3x_ADF","NEG_ADF","NEM_ADF","TDN_OARDC","NEL3x_OARDC","NEG_OARDC","NEM_OARDC","TDN_Milk2013","NEL3x_Milk2013","NEM_Milk2013","NEG_Milk2013","Milk.Ton_Milk2013","RFV","RFQ.y"
"1",2015,"NY","Musgrave","Barley","Verdant",30,"5/1/15","Blk1",0.332143522,21.98,19.33,32.89,59.69,187.4677047,7592,116060046426,"6/22/2016","Cornell University","MUSGRAVE 701","B1 Date1 Blk1",7,"N9",9.84,90.16,7.1,0.91,3.52,3.37,33.48,31.98,3.55,12.89,9.9,69.04,13.61,9.98,7.35,2.65,2.1,7.65,0.66,0.39,0.31,2.79,0.27,21.98,38.66,70.19,72.71,42.45,69.44,70.5,73.06,51.3,79.44,69.7,79.74,78.16,50.17,3938,208.93,222.05
"2",2015,"NY","Musgrave","Barley","Verdant",31,"5/1/15","Blk2",0.265714817,18.3,20.91,34.56,64.52,191.9908338,7592,116060046427,"6/22/2016","Cornell University","MUSGRAVE 702","B1 Date1 Blk2",7,"N9",8.94,91.06,6.89,0.95,2.93,2.79,33.28,33.6,3.53,11.92,9.64,71.31,16.21,9.11,6.43,2.73,2,8.3,0.63,0.33,0.31,2.68,0.25,18.3,39.59,69.7,72.17,40.55,67.32,68.99,71.38,48.03,75.72,69.24,78.41,75.98,48.25,3892,195.32,219.99
"3",2015,"NY","Musgrave","Barley","Verdant",31,"5/1/15","Blk3",0.392030005,22.36,18.38,32.7,67.57,192.0094841,7592,116060046428,"6/22/2016","Cornell University","MUSGRAVE 703","B1 Date1 Blk3",7,"N9",8.9,91.1,6.94,0.74,3.58,3.5,36.36,31.79,2.63,10.31,7.2,77.35,13.98,9.85,7.07,2.93,2.14,8.65,0.57,0.42,0.28,3.27,0.28,22.36,37.56,70.48,73.04,42.65,69.67,71.26,73.9,52.42,80.72,70.71,79.38,79.67,51.5,3979,212.18,241.01
"4",2015,"NY","Musgrave","Barley","Valor",30,"5/1/15","Blk1",0.086055367,22.03,19.88,33.5,59.96,189.1385612,7592,116060046457,"6/22/2016","Cornell University","MUSGRAVE 733","B2 Date1 Blk1",7,"N9",9.75,90.25,7.1,0.92,3.52,3.34,34.14,32.57,3.62,13.04,10.15,68.84,13.2,9.79,7.28,2.71,2.13,7.35,0.64,0.39,0.3,2.7,0.27,22.03,38.26,70.02,72.52,42.2,69.16,70.53,73.09,51.35,79.5,69.79,79.91,78.29,50.29,3952,203.73,218.99
"5",2015,"NY","Musgrave","Barley","Valor",32,"5/1/15","Blk2",0.143425612,24.5,16.42,30.55,57.42,184.7259476,7592,116060046458,"6/22/2016","Cornell University","MUSGRAVE 734","B2 Date1 Blk2",7,"N9",9.37,90.63,7.07,0.75,3.92,3.69,35.92,29.71,2.62,12.65,9.93,66.58,13.2,10.92,8.16,2.96,2.27,7.34,0.62,0.42,0.3,3.03,0.29,24.5,38.87,71.09,73.71,44.25,71.46,73.41,76.3,55.73,84.52,70.9,81.33,80.82,52.5,4021,231.87,237.6
"6",2015,"NY","Musgrave","Barley","P919",31,"5/1/15","Blk1",0.514822458,21.48,17.76,31.97,64.64,194.7848411,7592,116060046486,"6/22/2016","Cornell University","MUSGRAVE 765","B3 Date1 Blk1",7,"N9",8.91,91.09,6.92,0.63,3.44,3.07,37.34,31.08,2.57,10.99,8.21,73.58,15.35,10.02,7.33,2.97,2.15,7.67,0.54,0.4,0.27,3.11,0.26,21.48,39.69,70.67,73.25,42.68,69.71,72.52,75.31,53.59,82.06,71.19,80.61,79.94,51.74,4035,218.2,241.85
"7",2015,"NY","Musgrave","Barley","P919",31,"5/1/15","Blk2",0.041769564,20.4,19,31.13,48.66,179.425981,7592,116060046487,"6/22/2016","Cornell University","MUSGRAVE 766","B3 Date1 Blk2",7,"N9",10.12,89.88,6.95,0.77,3.26,2.87,35.05,30.27,3.67,15.54,11.32,62.6,16.64,10.33,8.52,2.35,1.92,7.11,0.68,0.37,0.3,2.85,0.24,20.4,42.17,70.29,72.82,42.69,69.71,71.15,73.78,51.49,79.66,68.26,79.83,75.53,47.85,3842,221.15,209.48
"8",2015,"NY","Musgrave","Barley","P919",32,"5/1/15","Blk3",0.398572226,22.73,18.28,34.51,69.24,192.7410096,7592,116060046488,"6/22/2016","Cornell University","MUSGRAVE 767","B3 Date1 Blk3",7,"N9",9.04,90.96,6.79,0.74,3.64,3.2,41.22,33.55,2.55,10.32,7.5,77.65,13.47,9.2,5.84,2.68,1.9,8.46,0.61,0.41,0.29,3.34,0.29,22.73,35.56,70.51,73.07,41.99,68.93,70.7,73.28,51.89,80.12,70.11,78.44,79,50.91,3931,201.41,231.22
"9",2015,"NY","Musgrave","Barley","P919",31,"5/1/15","Blk4",0.084545624,21.2,17.78,30.85,57.83,192.8219518,7592,116060046489,"6/22/2016","Cornell University","MUSGRAVE 768","B3 Date1 Blk4",7,"N9",10.36,89.64,6.84,0.66,3.39,2.96,35.9,30,3.11,12.65,9.52,68.27,15.55,10.05,8.76,2.97,2.25,6.77,0.64,0.37,0.3,2.61,0.25,21.2,41.74,70.66,73.24,43.06,70.13,72.94,75.77,53.96,82.48,71.16,81.8,79.8,51.61,4055,226.31,237.1
"10",2015,"NY","Musgrave","Barley","Thoroughbred",31,"5/1/15","Blk1",0.155503558,20.66,19.71,33.81,61.58,186.6319062,7592,116060046517,"6/22/2016","Cornell University","MUSGRAVE 797","B4 Date1 Blk1",7,"N9",9.86,90.14,6.79,0.72,3.31,3.04,36.54,32.87,3.4,12.63,9.55,70.95,14.58,9.32,8.07,2.76,2.01,8.19,0.62,0.38,0.31,2.82,0.25,20.66,38.31,70.07,72.58,41.63,68.53,69.91,72.4,50.16,78.14,68.98,78.57,76.62,48.82,3879,202.41,217.68
