"ID","Location","Season","Field","Plot","Field_sampling_date","Species","Planting_Date","Termination_Date","Fresh_Total_BM_kG_ha","Dry_Total_BM_kG_ha","Plant_water_content","Avg_pct_gc","Latitude","Longitude","Source_FQ","Carbohydrate_Perc_Norm","Cellulose_Perc_Norm","Lignin_Perc_Norm","NIRCP","NIRADF","NIRNDF","NIRNFC","Percent_N_NIRS"
"1106","BARC","2023-2024","NC2B","06","2023-11-27","Barley","2023-10-09","2024-05-25",1030.62,227.47,77.93,38.14,39.033628,-76.93826781,"Final Report_FY2425_6425-6752_USDA ARS SASL - Jordan Nicolette.xlsx",58.44862807,39.34310181,2.208270123,17.38,23.23,38.81,33.77,2.7808
"1107","BARC","2023-2024","NC2B","07","2023-11-27","Barley","2023-10-09","2024-05-25",503.94,139.98,72.22,32.31,39.03362082,-76.93790209,"Final Report_FY2425_6425-6752_USDA ARS SASL - Jordan Nicolette.xlsx",63.26689586,33.8686448,2.864459345,13.05,21.83,35.46,44.95,2.088
"1108","BARC","2023-2024","NC2B","08","2023-11-27","Barley","2023-10-09","2024-05-25",647.42,155.73,75.95,35.91,39.03337484,-76.93790086,"Final Report_FY2425_6425-6752_USDA ARS SASL - Jordan Nicolette.xlsx",60.35379023,37.04659411,2.599615659,16.94,22.38,37.74,37.48,2.7104
"1109","BARC","2023-2024","NC2B","09","2023-11-27","Barley","2023-10-09","2024-05-25",524.93,138.23,73.67,27.17,39.03307479,-76.93826635,"Final Report_FY2425_6425-6752_USDA ARS SASL - Jordan Nicolette.xlsx",60.24061615,36.8704506,2.888933252,15.8,23.01,38.27,39.12,2.528
"1110","BARC","2023-2024","NC2B","10","2023-11-27","Barley","2023-10-09","2024-05-25",370.95,82.24,77.83,24.24,39.0337404,-76.93909428,"Final Report_FY2425_6425-6752_USDA ARS SASL - Jordan Nicolette.xlsx",53.61485027,43.4229894,2.962160324,16.22,27.57,42.81,29.53,2.5952
"1111","BARC","2023-2024","SH46","11","2023-11-27","CerealRye","2023-10-06","2024-04-25",1030.62,253.72,75.38,30,39.01893875,-76.94204326,"Final Report_FY2425_6425-6752_USDA ARS SASL - Jordan Nicolette.xlsx",66.2942474,30.24316142,3.462591177,18.49,20.88,31.87,41.2,2.9584
"1112","BARC","2023-2024","SH46","12","2023-11-27","CerealRye","2023-10-06","2024-04-25",2202.97,183.73,91.66,64.65,39.0189366,-76.9423565,"Final Report_FY2425_6425-6752_USDA ARS SASL - Jordan Nicolette.xlsx",68.42407649,27.83046903,3.745454479,18.99,20.36,30.36,44.06,3.0384
"1113","BARC","2023-2024","SH46","13","2023-11-27","CerealRye","2023-10-06","2024-04-25",825.9,209.97,74.58,25.24,39.01924412,-76.94235019,"Final Report_FY2425_6425-6752_USDA ARS SASL - Jordan Nicolette.xlsx",68.1445007,28.41824738,3.437251922,17.11,18.3,30.35,44.96,2.7376
"1114","BARC","2023-2024","SH46","14","2023-11-27","CerealRye","2023-10-06","2024-04-25",3041.12,694.66,77.16,63.11,39.01924044,-76.94274737,"Final Report_FY2425_6425-6752_USDA ARS SASL - Jordan Nicolette.xlsx",64.13210605,32.58743457,3.28045938,18.75,18.97,33.83,38.65,3
"1115","BARC","2023-2024","SH46","15","2023-11-27","CerealRye","2023-10-06","2024-04-25",873.14,229.22,73.75,44.52,39.01947331,-76.94304862,"Final Report_FY2425_6425-6752_USDA ARS SASL - Jordan Nicolette.xlsx",65.85268255,30.56471812,3.582599333,19.61,19.52,32.81,41.06,3.1376
"1116","BARC","2023-2024","SH89","16","2023-11-27","CerealRye","2023-10-07","2024-05-30",785.65,188.98,75.95,17.17,39.01711707,-76.94090718,"Final Report_FY2425_6425-6752_USDA ARS SASL - Jordan Nicolette.xlsx",65.78386557,30.96854696,3.247587469,22.58,17.56,32.32,36.73,3.6128
"1117","BARC","2023-2024","SH89","17","2023-11-27","CerealRye","2023-10-07","2024-05-30",467.19,132.98,71.54,11.52,39.01733921,-76.94092851,"Final Report_FY2425_6425-6752_USDA ARS SASL - Jordan Nicolette.xlsx",66.25036518,29.98286661,3.766768204,17.33,20.99,32.28,43.05,2.7728
"1118","BARC","2023-2024","SH89","18","2023-11-27","CerealRye","2023-10-07","2024-05-30",829.4,295.71,64.35,14.17,39.01763791,-76.94093544,"Final Report_FY2425_6425-6752_USDA ARS SASL - Jordan Nicolette.xlsx",62.90766131,33.31694608,3.775392609,17.32,21.69,35.26,39.4,2.7712
"1119","BARC","2023-2024","SH89","19","2023-11-27","CerealRye","2023-10-07","2024-05-30",747.16,157.48,78.92,21.23,39.01733284,-76.94129855,"Final Report_FY2425_6425-6752_USDA ARS SASL - Jordan Nicolette.xlsx",63.74373031,31.91239144,4.343878247,20.41,23.26,33.02,35.29,3.2656
"1120","BARC","2023-2024","SH89","20","2023-11-27","CerealRye","2023-10-07","2024-05-30",965.88,232.72,75.91,22.3,39.01764158,-76.94130939,"Final Report_FY2425_6425-6752_USDA ARS SASL - Jordan Nicolette.xlsx",66.28086646,29.31835233,4.40078121,19.11,22.48,31.19,39.4,3.0576
"1122","BARC","2023-2024","SE18A","22","2023-11-27","CerealRye","2023-10-10",NA,1147.86,309.71,73.02,35.35,39.01918113,-76.94651484,"Final Report_FY2425_6425-6752_USDA ARS SASL - Jordan Nicolette.xlsx",66.88493838,30.4405718,2.674489818,20.01,16.7,31.2,39.79,3.2016
"1123","BARC","2023-2024","SE18A","23","2023-11-27","CerealRye","2023-10-10",NA,726.16,213.47,70.6,27.95,39.01941671,-76.94652849,"Final Report_FY2425_6425-6752_USDA ARS SASL - Jordan Nicolette.xlsx",69.81857852,27.37725815,2.804163325,19.34,15.42,29.07,44.87,3.0944
"1124","BARC","2023-2024","SE18A","24","2023-11-27","CerealRye","2023-10-10",NA,432.2,139.98,67.61,27.37,39.01916951,-76.94690402,"Final Report_FY2425_6425-6752_USDA ARS SASL - Jordan Nicolette.xlsx",68.77819992,28.1441817,3.077618385,18.25,16.82,29.96,44.71,2.92
"1125","BARC","2023-2024","SE18A","25","2023-11-27","CerealRye","2023-10-10",NA,533.68,148.73,72.13,42.28,39.01885874,-76.94688529,"Final Report_FY2425_6425-6752_USDA ARS SASL - Jordan Nicolette.xlsx",68.13783321,29.07669578,2.785471019,17.53,17.11,30.22,44,2.8048
"1126","BARC","2023-2024","SD5","26","2023-11-27","CerealRye","2023-10-08","2024-04-25",579.18,162.73,71.9,17.29,39.01380687,-76.94468581,"Final Report_FY2425_6425-6752_USDA ARS SASL - Jordan Nicolette.xlsx",63.37850922,31.37965605,5.241834727,16.63,27.27,34.09,39.47,2.6608
"1127","BARC","2023-2024","SD5","27","2023-11-27","CerealRye","2023-10-08","2024-04-25",398.95,94.49,76.32,17.79,39.0134854,-76.94497135,"Final Report_FY2425_6425-6752_USDA ARS SASL - Jordan Nicolette.xlsx",68.06384569,28.15615998,3.779994326,20.44,19.69,30.39,41.52,3.2704
"1128","BARC","2023-2024","SD5","28","2023-11-27","CerealRye","2023-10-08","2024-04-25",925.63,286.96,69,30.78,39.01379987,-76.94536689,"Final Report_FY2425_6425-6752_USDA ARS SASL - Jordan Nicolette.xlsx",60.83354263,32.18956702,6.976890348,18.09,29.09,36.42,35.37,2.8944
"1129","BARC","2023-2024","SD5","29","2023-11-27","CerealRye","2023-10-08","2024-04-25",1996.5,549.43,72.48,40.29,39.01346874,-76.94565237,"Final Report_FY2425_6425-6752_USDA ARS SASL - Jordan Nicolette.xlsx",61.08688248,32.37978486,6.533332663,20.93,28.83,35.26,31.5,3.3488
