id,model,lat,lon,bd,socpct,dul,air_dry,ppl_trt,vetch_trt_pr,start,end,days,rep,fomkg,initialfomn_kg,fompctn,litterwatercontent,fompctc,fompctcarb,fompctcell,fompctlign,soilmoisture
1,Both,39.03,-76.9287,1.35,1.15,0.27,0.07,control,0,5/18/2012,9/10/2012,115,3,8340.44,46.1102,0.551584,1.4856,46.1517,33.4534,57.8105,8.73606,Cereal rye
5,Both,39.03,-76.93,1.35,1.15,0.27,0.07,control,1,5/18/2012,9/10/2012,115,3,5762.36,264.039,4.58139,7.42747,47.0702,56.1809,36.7391,7.07998,Hairy vetch
6,Both,39.03,-76.93,1.35,1.15,0.27,0.07,brdcst,0,5/18/2012,9/10/2012,115,3,10559.3,146.93,1.39447,1.14111,45.8686,37.3313,54.5302,8.1385,Cereal rye
10,Both,39.03,-76.93,1.35,1.15,0.27,0.07,brdcst,1,5/18/2012,9/10/2012,115,3,8213.74,389.499,4.74301,4.87233,46.8128,56.4205,37.1719,6.40762,Hairy vetch
11,Both,39.03,-76.93,1.35,1.15,0.27,0.07,side,0,5/18/2012,9/10/2012,115,3,8142.68,42.7522,0.522513,1.24037,45.7552,33.1506,58.0155,8.8339,Cereal rye
15,Both,39.03,-76.93,1.35,1.15,0.27,0.07,side,1,5/18/2012,9/10/2012,115,3,6014.32,302.779,5.05459,7.19758,47.1224,59.0206,33.6805,7.29898,Hairy vetch
16,Both,39.02,-76.94,1.35,0.8,0.24,0.065,control,0,5/23/2013,9/4/2013,104,5,8269.51,57.5596,0.697537,2.25423,45.5216,26.8246,65.0284,8.147,Cereal rye
20,Both,39.02,-76.94,1.35,0.8,0.24,0.065,control,1,5/23/2013,9/4/2013,104,6,7897.6,393.622,5.01896,7.02482,46.5721,60.1884,34.961,4.85058,Hairy vetch
21,Both,39.02,-76.94,1.35,0.8,0.24,0.065,brdcst,0,5/23/2013,9/4/2013,104,6,10485.5,135.781,1.2933,1.62468,46.0922,35.9214,56.4692,7.60939,Cereal rye
25,Both,39.02,-76.94,1.35,0.8,0.24,0.065,brdcst,1,5/23/2013,9/4/2013,104,6,9930.13,492.135,4.97521,5.45254,46.354,57.0236,37.0285,5.94786,Hairy vetch
26,Both,39.02,-76.94,1.35,0.8,0.24,0.065,side,0,5/23/2013,9/4/2013,104,6,8272.14,65.5104,0.791376,2.32888,45.829,31.9931,60.1248,7.88208,Cereal rye
30,Both,39.02,-76.94,1.35,0.8,0.24,0.065,side,1,5/23/2013,9/4/2013,104,6,7437.56,373.395,5.05569,7.834,45.6851,61.1414,33.2745,5.5841,Hairy vetch
31,Incorporated,39.03,-76.93,1.35,1.15,0.27,0.07,inc,0,5/8/2012,9/10/2012,125,3,8537.99,46.9467,0.550697,1.52606,45.8373,28.136,64.3832,7.48081,Cereal rye
35,Incorporated,39.03,-76.93,1.35,1.15,0.27,0.07,inc,1,5/8/2012,9/10/2012,125,3,5669.06,297.636,5.24927,7.66215,47.2985,62.4185,31.7656,5.81587,Hairy vetch
36,Incorporated,39.02,-76.94,1.35,0.8,0.24,0.065,inc,0,5/16/2013,9/4/2013,111,6,9180.79,63.4109,0.690044,2.29931,45.4116,28.3738,63.6573,7.96893,Cereal rye
40,Incorporated,39.02,-76.94,1.35,0.8,0.24,0.065,inc,1,5/16/2013,9/4/2013,111,6,8341.55,417.938,5.03483,6.7336,46.605,65.3406,29.9723,4.68702,Hairy vetch
