UniqueID,Entry Number,Entry Name,Rep,Order,Range,Row,Rng-Rw,MapID,plot,walk,Emergence-1month After Planting,Vigor-1 Month After Planting,Emergence-2 month After Planting,Vigor-2 Months After Planting,Notes spring vigor 1,Vigor- Spring 1,Spring % Stand Count,Growth Stage Score - 50%flower,Vigor harvest 1,Growth Stage harvest 1,Harvest Length,Notes Harvest 1,Growth Stage Score - Harvest 2,Vigor- Harvest 2,Weight(g) harvest 1,Weight(g) harvest 2
20NC1_CCALT-1-1,8,Dixie,1,1,1,1,1-Jan,1-1: Dixie,1,1,88,9,86,9,,9,100,5,9,6,5.25,,9,8,765,775
20NC1_CCALT-1-2,2,17RMCC-Late,1,3,1,2,2-Jan,1-2: 17RMCC-Late,16,2,67,2,54,4,,3,90,4,8,6,4.75,,8,6,285,310
20NC1_CCALT-1-3,7,19NCCC-Late-Soft,1,5,1,3,3-Jan,1-3: 19NCCC-Late-Soft,17,3,86,4,74,5,,3,91,3,8,5,3,,9,9,235,290
20NC1_CCALT-1-4,10,blank,1,7,1,4,4-Jan,1-4: blank,32,4,0,NA ,,NA,,NA ,,No Plants,NA,,,,,,0,0
20NC1_CCALT-1-5,1,17MDCC-Hard,1,9,1,5,5-Jan,1-5: 17MDCC-Hard,33,5,68,5,66,5,,6,93,5,7,7,4.25,,9,8,320,420
20NC1_CCALT-2-1,5,19NCCC-Early,1,2,2,1,1-Feb,2-1: 19NCCC-Early,2,10,76,5,68,7,,5,96,6,8,7,5.25,,9,9,295,655
20NC1_CCALT-2-2,9,Linkarus,1,4,2,2,2-Feb,2-2: Linkarus,15,9,91,5,88,6,,5,100,4,8,6,4.75,,9,9,305,810
20NC1_CCALT-2-3,6,19NCCC-Late-Hard,1,6,2,3,3-Feb,2-3: 19NCCC-Late-Hard,18,8,50,2,60,4,,2,90,3,8,5,5,,8,7,250,350
20NC1_CCALT-2-4,3,18NC-LateGreat,1,8,2,4,4-Feb,2-4: 18NC-LateGreat,31,7,6,2,6,4,,2,31,5,7,6,4.5,2 plants only ,NA ,NA ,180,0
20NC1_CCALT-2-5,4,19MDCC,1,10,2,5,5-Feb,2-5: 19MDCC,34,6,86,6,85,8,,7,94,4,7,6,3.25,,9,9,375,425
20NC1_CCALT-3-1,1,17MDCC-Hard,2,11,3,1,1-Mar,3-1: 17MDCC-Hard,3,11,75,5,75,7,,4,90,5,8,7,5.5,,9,8,365,605
20NC1_CCALT-3-2,5,19NCCC-Early,2,13,3,2,2-Mar,3-2: 19NCCC-Early,14,12,80,5,79,6,3/26 some white flowers!,4,95,6,6,8,5.25,,9,4,305,330
20NC1_CCALT-3-3,4,19MDCC,2,15,3,3,3-Mar,3-3: 19MDCC,19,13,79,5,83,5,,5,93,4,6,6,5,,8,9,305,633
20NC1_CCALT-3-4,8,Dixie,2,17,3,4,4-Mar,3-4: Dixie,30,14,72,3,80,4,,5,94,4,8,6,4.75,,9,7,320,286
20NC1_CCALT-3-5,3,18NC-LateGreat,2,19,3,5,5-Mar,3-5: 18NC-LateGreat,35,15,9,1,0,NA,,1,31,2,1,5,2,one plant,NA ,NA ,70,0
20NC1_CCALT-4-1,7,19NCCC-Late-Soft,2,12,4,1,1-Apr,4-1: 19NCCC-Late-Soft,4,20,79,5,80,7,,7,87,2,9,5,5.5,,7,6,325,945
20NC1_CCALT-4-2,9,Linkarus,2,14,4,2,2-Apr,4-2: Linkarus,13,19,100,7,90,8,,8,100,5,9,7,5,,9,8,485,765
20NC1_CCALT-4-3,6,19NCCC-Late-Hard,2,16,4,3,3-Apr,4-3: 19NCCC-Late-Hard,20,18,50,4,53,6,,3,53,2,7,5,5,,8,5,110,570
20NC1_CCALT-4-4,2,17RMCC-Late,2,18,4,4,4-Apr,4-4: 17RMCC-Late,29,17,36,5,39,5,,2,73,4,5,6,3,few plants,9,3,170,0
20NC1_CCALT-4-5,10,blank,2,20,4,5,5-Apr,4-5: blank,36,16,0,NA ,0,NA,,NA ,,No Plants,,,,,,,0,0
20NC1_CCALT-5-1,8,Dixie,3,21,5,1,1-May,5-1: Dixie,5,21,90,8,89,9,,9,100,5,8,6,5.5,,9,9,810,735
20NC1_CCALT-5-2,1,17MDCC-Hard,3,23,5,2,2-May,5-2: 17MDCC-Hard,12,22,76,4,81,4,,3,89,5,5,8,5,,9,6,218,255
20NC1_CCALT-5-3,9,Linkarus,3,25,5,3,3-May,5-3: Linkarus,21,23,98,7,94,8,,6,100,5,9,7,4.75,,9,9,482,420
20NC1_CCALT-5-4,3,18NC-LateGreat,3,27,5,4,4-May,5-4: 18NC-LateGreat,28,24,5,2,7,5,,2,33,3,3,6,5.5,3 plants with some space,NA ,NA ,130,0
20NC1_CCALT-5-5,7,19NCCC-Late-Soft,3,29,5,5,5-May,5-5: 19NCCC-Late-Soft,37,25,49,4,58,3,,2,80,2,4,5,4,,8,7,150,260
20NC1_CCALT-6-1,5,19NCCC-Early,3,22,6,1,1-Jun,6-1: 19NCCC-Early,6,30,80,2,74,4,3/26 some white flowers,3,92,6,4,8,4.75,,9,8,130,345
20NC1_CCALT-6-2,10,blank,3,24,6,2,2-Jun,6-2: blank,11,29,0,NA ,0,NA,,NA ,,No Plants,,,,,,,0,0
20NC1_CCALT-6-3,6,19NCCC-Late-Hard,3,26,6,3,3-Jun,6-3: 19NCCC-Late-Hard,22,28,54,1,30,2,,2,87,1,6,5,4.5,,8,7,135,380
20NC1_CCALT-6-4,4,19MDCC,3,28,6,4,4-Jun,6-4: 19MDCC,27,27,61,5,68,5,,3,79,4,7,7,2.5,,9,7,153,0
20NC1_CCALT-6-5,2,17RMCC-Late,3,30,6,5,5-Jun,6-5: 17RMCC-Late,38,26,5,1,3,1,,2,13,1,2,5,2,one plant,NA ,NA ,45,0
20NC1_CCALT-7-1,4,19MDCC,4,31,7,1,1-Jul,7-1: 19MDCC,7,31,95,6,90,6,,5,100,4,8,6,4.5,,9,9,423,498
20NC1_CCALT-7-2,3,18NC-LateGreat,4,33,7,2,2-Jul,7-2: 18NC-LateGreat,10,32,95,1,68,1,,1,95,1,7,5,4.5,,8,9,212,435
20NC1_CCALT-7-3,2,17RMCC-Late,4,35,7,3,3-Jul,7-3: 17RMCC-Late,23,33,3,1,5,1,,1,19,4,2,6,4,2 plants,NA ,NA ,50,0
