UniqueID,Entry Number,Entry Name,Rep,Order,Range,Row,Rng-Rw,MapID,plot,walk,Emergence-1month After Planting,Vigor-1 Month After Planting,Emergence-2 month After Planting,Vigor-2 Months After Planting,Notes spring 1,Vigor- Spring 1,Spring % Stand Count,Growth Stage Score - 50%flower,Vigor- Harvest 1,Growth Stage Score - Harvest 1,Harvest Length Ft,Growth Stage Score - Harvest 2,Vigor- Harvest 2,Weight(g) harvest 1,Weight(g) harvest 2
20NC1_HVALT-1-1,11,Hungvillosa,1,1,1,1,1-Jan,1-1: Hungvillosa,1,1,80,6,95,5,,5,100,2,5,6,6.25,6,8,817,1463
20NC1_HVALT-1-2,3,17NCHV-Early-PMC,1,3,1,2,2-Jan,1-2: 17NCHV-Early-PMC,16,2,90,7,100,5,,5,100,3,5,6,6,6,8,840,2250
20NC1_HVALT-1-3,9,19NCHV-Bulk,1,5,1,3,3-Jan,1-3: 19NCHV-Bulk,17,3,80,4,97,3,,3,100,2,4,5,5.5,6,7,1140,1850
20NC1_HVALT-1-4,5,18MNHV,1,7,1,4,4-Jan,1-4: 18MNHV,32,4,90,5,100,3,,2,100,2,5,5,5.5,6,7,648,1380
20NC1_HVALT-1-5,2,17MNHV-PMC,1,9,1,5,5-Jan,1-5: 17MNHV-PMC,33,5,90,5,100,2,,2,100,2,4,5,5.75,6,8,725,1250
20NC1_HVALT-1-6,12,MSP4102,1,11,1,6,6-Jan,1-6: MSP4102,48,6,85,6,100,2,,3,100,2,5,5,5.25,6,8,795,1495
20NC1_HVALT-1-7,10,AU Merit,1,13,1,7,7-Jan,1-7: AU Merit,49,7,65,4,95,3,,5,100,3,5,6,5.5,6,7,721,2110
20NC1_HVALT-2-1,14,blank,1,2,2,1,1-Feb,2-1: blank,2,14,0,NA ,0,NA,,NA ,,No Plants,,,,,,0,0
20NC1_HVALT-2-2,8,19MNHV-Bulk,1,4,2,2,2-Feb,2-2: 19MNHV-Bulk,15,13,100,6,94,4,,2,100,2,3,4,5,6,7,435,780
20NC1_HVALT-2-3,4,18MDHV,1,6,2,3,3-Feb,2-3: 18MDHV,18,12,80,7,100,5,,7,100,2,5,4,5.5,6,6,675,1750
20NC1_HVALT-2-4,13,Purple Bounty,1,8,2,4,4-Feb,2-4: Purple Bounty,31,11,80,5,96,4,,9,100,5,5,6,5,6,6,430,1545
20NC1_HVALT-2-5,1,17MDHV-PMC,1,10,2,5,5-Feb,2-5: 17MDHV-PMC,34,10,80,6,98,3,,5,100,2,4,4,4.5,6,5,495,1538
20NC1_HVALT-2-6,6,18NCHV-Late,1,12,2,6,6-Feb,2-6: 18NCHV-Late,47,9,95,6,98,3,,5,100,2,5,4,5.5,6,8,780,1565
20NC1_HVALT-2-7,7,19MDHV-Bulk,1,14,2,7,7-Feb,2-7: 19MDHV-Bulk,50,8,60,3,95,2,,4,100,2,5,4,5,6,8,965,1744
20NC1_HVALT-3-1,9,19NCHV-Bulk,2,15,3,1,1-Mar,3-1: 19NCHV-Bulk,3,15,100,7,100,8,,5,100,2,4,4,5,6,9,640,1385
20NC1_HVALT-3-2,3,17NCHV-Early-PMC,2,17,3,2,2-Mar,3-2: 17NCHV-Early-PMC,14,16,100,8,100,5,,5,100,2,5,4,4.5,6,1,681,0
20NC1_HVALT-3-3,4,18MDHV,2,19,3,3,3-Mar,3-3: 18MDHV,19,17,100,7,100,6,,5,100,2,5,6,5,6,9,390,1552
20NC1_HVALT-3-4,11,Hungvillosa,2,21,3,4,4-Mar,3-4: Hungvillosa,30,18,60,4,100,5,,5,100,2,5,4,5.5,6,9,595,1430
20NC1_HVALT-3-5,10,AU Merit,2,23,3,5,5-Mar,3-5: AU Merit,35,19,100,6,100,6,,5,100,2,5,6,4.5,6,2,605,1970
20NC1_HVALT-3-6,1,17MDHV-PMC,2,25,3,6,6-Mar,3-6: 17MDHV-PMC,46,20,75,7,94,5,,5,100,2,4,4,5,6,1,1030,1497
20NC1_HVALT-3-7,12,MSP4102,2,27,3,7,7-Mar,3-7: MSP4102,51,21,80,6,94,3,,3,100,2,3,4,5.5,6,6,635,1565
20NC1_HVALT-4-1,14,blank,2,16,4,1,1-Apr,4-1: blank,4,28,,NA ,0,NA,,NA ,0,No Plants,NA,,,,,0,0
20NC1_HVALT-4-2,8,19MNHV-Bulk,2,18,4,2,2-Apr,4-2: 19MNHV-Bulk,13,27,100,5,95,4,,4,100,2,4,4,5,6,7,610,1055
20NC1_HVALT-4-3,7,19MDHV-Bulk,2,20,4,3,3-Apr,4-3: 19MDHV-Bulk,20,26,70,5,93,5,,4,100,2,4,4,5,6,6,610,1200
20NC1_HVALT-4-4,5,18MNHV,2,22,4,4,4-Apr,4-4: 18MNHV,29,25,60,3,88,2,,2,100,2,3,5,5.5,6,6,440,1675
20NC1_HVALT-4-5,13,Purple Bounty,2,24,4,5,5-Apr,4-5: Purple Bounty,36,24,70,4,95,5,,9,100,4,5,6,4.5,6,1,795,1160
20NC1_HVALT-4-6,6,18NCHV-Late,2,26,4,6,6-Apr,4-6: 18NCHV-Late,45,23,85,5,100,5,,4,100,2,3,4,5.5,6,5,681,2563
20NC1_HVALT-4-7,2,17MNHV-PMC,2,28,4,7,7-Apr,4-7: 17MNHV-PMC,52,22,100,8,95,3,,3,100,2,4,5,5.75,6,7,590,1895
20NC1_HVALT-5-1,11,Hungvillosa,3,29,5,1,1-May,5-1: Hungvillosa,5,29,75,4,96,7,,6,100,2,5,4,5,6,8,575,1055
20NC1_HVALT-5-2,2,17MNHV-PMC,3,31,5,2,2-May,5-2: 17MNHV-PMC,12,30,90,6,94,7,,4,100,2,3,5,5,6,5,325,745
20NC1_HVALT-5-3,14,blank,3,33,5,3,3-May,5-3: blank,21,31,0,NA ,0,NA,,NA ,,No Plants,,,,,,0,0
20NC1_HVALT-5-4,3,17NCHV-Early-PMC,3,35,5,4,4-May,5-4: 17NCHV-Early-PMC,28,32,90,7,95,6,,5,100,2,5,5,4.5,6,7,575,1245
20NC1_HVALT-5-5,12,MSP4102,3,37,5,5,5-May,5-5: MSP4102,37,33,60,4,95,3,,2,100,2,2,4,4.5,6,4,520,1135
20NC1_HVALT-5-6,8,19MNHV-Bulk,3,39,5,6,6-May,5-6: 19MNHV-Bulk,44,34,60,4,97,3,,3,100,2,5,4,5,6,7,460,905
20NC1_HVALT-5-7,9,19NCHV-Bulk,3,41,5,7,7-May,5-7: 19NCHV-Bulk,53,35,95,7,95,4,,4,100,2,4,4,5,6,8,500,925
20NC1_HVALT-6-1,13,Purple Bounty,3,30,6,1,1-Jun,6-1: Purple Bounty,6,42,80,4,96,6,,3,94,4,4,6,4.5,6,5,330,535
20NC1_HVALT-6-2,7,19MDHV-Bulk,3,32,6,2,2-Jun,6-2: 19MDHV-Bulk,11,41,90,5,94,5,3/26 hole to animal burrow in plot ,1,90,2,2,4,5,6,8,400,1185
20NC1_HVALT-6-3,4,18MDHV,3,34,6,3,3-Jun,6-3: 18MDHV,22,40,100,7,100,7,,4,100,2,4,4,5,6,4,430,880
20NC1_HVALT-6-4,6,18NCHV-Late,3,36,6,4,4-Jun,6-4: 18NCHV-Late,27,39,100,7,100,7,,4,100,2,4,4,6,6,9,580,1570
20NC1_HVALT-6-5,10,AU Merit,3,38,6,5,5-Jun,6-5: AU Merit,38,38,100,7,100,8,,4,100,2,5,5,6,6,6,510,1610
20NC1_HVALT-6-6,5,18MNHV,3,40,6,6,6-Jun,6-6: 18MNHV,43,37,80,5,94,5,,3,100,2,4,5,5,6,6,775,2237
20NC1_HVALT-6-7,1,17MDHV-PMC,3,42,6,7,7-Jun,6-7: 17MDHV-PMC,54,36,,NA ,0,NA,,NA ,,No Plants,NA,NA ,-,NA ,NA ,0,0
20NC1_HVALT-7-1,3,17NCHV-Early-PMC,4,43,7,1,1-Jul,7-1: 17NCHV-Early-PMC,7,43,100,6,96,7,,3,100,2,5,6,4.5,6,7,540,1208
20NC1_HVALT-7-2,12,MSP4102,4,45,7,2,2-Jul,7-2: MSP4102,10,44,100,7,95,4,,2,100,2,1,4,5,6,7,465,1175
20NC1_HVALT-7-3,2,17MNHV-PMC,4,47,7,3,3-Jul,7-3: 17MNHV-PMC,23,45,95,8,95,6,,2,100,2,2,4,4,6,4,450,550
20NC1_HVALT-7-4,9,19NCHV-Bulk,4,49,7,4,4-Jul,7-4: 19NCHV-Bulk,26,46,70,6,97,6,,4,100,2,5,4,5,6,5,485,985
20NC1_HVALT-7-5,10,AU Merit,4,51,7,5,5-Jul,7-5: AU Merit,39,47,95,9,94,9,,4,100,2,4,5,5.5,6,7,435,1060
20NC1_HVALT-7-6,7,19MDHV-Bulk,4,53,7,6,6-Jul,7-6: 19MDHV-Bulk,42,48,75,6,91,4,,3,100,2,4,4,5,6,8,380,1190
20NC1_HVALT-7-7,14,blank,4,55,7,7,7-Jul,7-7: blank,55,49,90,7,100,4,,3,100,2,4,4,6,6,7,700,1805
20NC1_HVALT-8-1,1,17MDHV-PMC,4,44,8,1,1-Aug,8-1: 17MDHV-PMC,8,56,100,7,100,8,,5,100,2,5,4,5.5,6,6,695,1151
20NC1_HVALT-8-2,4,18MDHV,4,46,8,2,2-Aug,8-2: 18MDHV,9,55,100,8,100,8,,3,100,2,5,4,5,6,7,700,1450
20NC1_HVALT-8-3,11,Hungvillosa,4,48,8,3,3-Aug,8-3: Hungvillosa,24,54,90,6,94,6,,5,100,2,5,4,4.5,6,8,590,1397
20NC1_HVALT-8-4,5,18MNHV,4,50,8,4,4-Aug,8-4: 18MNHV,25,53,70,4,94,4,,2,100,2,4,4,5.5,6,7,465,730
20NC1_HVALT-8-5,13,Purple Bounty,4,52,8,5,5-Aug,8-5: Purple Bounty,40,52,90,7,95,5,,7,100,5,5,6,5,6,4,785,980
20NC1_HVALT-8-6,6,18NCHV-Late,4,54,8,6,6-Aug,8-6: 18NCHV-Late,41,51,95,6,95,5,,3,100,2,5,4,5.5,6,9,630,1530
20NC1_HVALT-8-7,8,19MNHV-Bulk,4,56,8,7,7-Aug,8-7: 19MNHV-Bulk,56,50,80,4,91,1,,2,100,2,5,4,5.5,6,8,660,1280
