UniqueID,Site.Year,Entry Number,Cross #,Cross,Source,Rep,Order,Range,Row,Rng-Rw,MapID,plot,walk,Emergence-1month After Planting,Vigor-1 Month After Planting,Emergence-2 month After Planting,Vigor-2 Months After Planting,Growth 2 months after planitng,Growth Stage Score January,Freeze Damage Feb,Freeze Damage March,Vigor- Spring 1,Spring % Stand Count,Growth Stage Score - 50%flower,Disease Resistance 1- Optional,Growth Stage Score - Harvest 1,Vigor-harvest1,Notes Harvest 1,Harvest Length,Vigor-Harvest2,Growth Stage Harvest 2,Disease 2,Notes Harvest 2
20NC2_WPALT-1-1,20NC2_WPALT,13,13,14WPX1551-1-4-0,WA-18,1,1,1,1,1-Jan,1-1: 13,1,1,80,7,100,8,3,2,1,3,8,75,2,2,5,8,,6.4,7,6,2,
20NC2_WPALT-1-2,20NC2_WPALT,2a,2,14WPX1518-4-2-4-1,WA,1,3,1,2,2-Jan,1-2: 2a,16,2,90,8,100,9,3,5,1,4,4,50,6,2,7,5,,7,2,8,2,few small plants
20NC2_WPALT-1-3,20NC2_WPALT,4b,4,14WPX1553-3-2-2,WA,1,5,1,3,3-Jan,1-3: 4b,17,3,,,,,,,,,,,,,,,,,,,,
20NC2_WPALT-1-4,20NC2_WPALT,4a,4,14WPX1553-3-2-1,WA,1,7,1,4,4-Jan,1-4: 4a,32,4,85,8,100,8,2,2,0,1,8,100,3,2,5,8,,7.75,7,7,2,
20NC2_WPALT-1-5,20NC2_WPALT,20,20,14WPX1548 1-2-0,1969W-13,1,9,1,5,5-Jan,1-5: 20,33,5,85,7,100,6,2,2,0,2,9,100,2,2,3,9,very thick and sturdy,6.75,8,7,2,
20NC2_WPALT-1-6,20NC2_WPALT,25,25,14WPX1552 1-3-0-0,1969W-27,1,11,1,6,6-Jan,1-6: 25,48,6,90,8,100,6,2,2,0,1,9,100,2,2,6,8,,6.125,9,7,2,
20NC2_WPALT-1-7,20NC2_WPALT,18,Check5,AWP vnsWI,WA-23,1,13,1,7,7-Jan,1-7: 18,49,7,94,4,100,5,1,2,0,3,7,95,2,2,2,6,,6.5,8,6,2,
20NC2_WPALT-1-8,20NC2_WPALT,4c,4,14WPX1553-3-2-4,WA-9,1,15,1,8,8-Jan,1-8: 4c,64,8,96,7,100,7,2,2,0,2,7,90,2,2,4,7,,5.75,8,7,2,
20NC2_WPALT-1-9,20NC2_WPALT,26,Check19,WyoWinter,bought,1,17,1,9,9-Jan,1-9: 26,65,9,81,2,90,4,1,2,0,2,6,90,2,3,3,5,,6,8,6,2,
20NC2_WPALT-1-10,20NC2_WPALT,24,24,14WPX1551 1-3-0-0c,1969W-18,1,19,1,10,10-Jan,1-10: 24,80,10,96,5,100,5,2,2,0,1,8,100,2,2,5,8,,6.5,8,7,2,
20NC2_WPALT-1-11,20NC2_WPALT,12,12,14WPX1550-1-2-0,WA-17,1,21,1,11,11-Jan,1-11: 12,81,11,93,2,100,4,1,2,0,1,9,100,2,2,4,9,,7,9,6,2,
20NC2_WPALT-1-12,20NC2_WPALT,2b,2,14WPX1518-4-2-4-2,WA,1,23,1,12,12-Jan,1-12: 2b,89,12,91,5,100,8,3,5,2,5,6,100,6,2,8,3,,6.5,3,8,3,
20NC2_WPALT-2-1,20NC2_WPALT,21,21,14WPX1548 1-3-0,1969W-10,1,2,2,1,1-Feb,2-1: 21,2,24,70,7,100,5,3,5,0,0.5,7,85,2,2,2,5,not great stand,7.25,8,6,2,
20NC2_WPALT-2-2,20NC2_WPALT,11,11,14WPX1553-1-1-0,WA-16,1,4,2,2,2-Feb,2-2: 11,15,23,90,7,100,4,2,2,0,1,7,95,2,2,4,7,,7.5,7,6,2,
20NC2_WPALT-2-3,20NC2_WPALT,16,Check3,Romack,WA-21,1,6,2,3,3-Feb,2-3: 16,18,22,60,3,100,4,1,2,0,1,7,100,2,2,5,8,,6.25,5,6,2,
20NC2_WPALT-2-4,20NC2_WPALT,10,10,14WPX1552-1-2-0,WA-15,1,8,2,4,4-Feb,2-4: 10,31,21,90,3,95,5,2,2,0,1,7,100,2,2,2,6,,7.5,8,6,2,
20NC2_WPALT-2-5,20NC2_WPALT,19,19,14WPX1551 1-3-0,1969W-02,1,10,2,5,5-Feb,2-5: 19,34,20,80,7,100,7,2,2,1,2,7,100,2,2,5,6,,6.25,8,6,2,
20NC2_WPALT-2-6,20NC2_WPALT,22,22,14WPX1548 1-4-0,1969W-17,1,12,2,6,6-Feb,2-6: 22,47,19,90,2,95,2,2,2,0,0.5,7,100,2,2,2,6,,5.5,7,7,2,
20NC2_WPALT-2-7,20NC2_WPALT,15,15,14WPX1117-0-0-0,WA-20,1,14,2,7,7-Feb,2-7: 15,50,18,86,5,100,5,2,2,1,2,7,100,2,2,2,8,,7,9,6,2,
20NC2_WPALT-2-8,20NC2_WPALT,23,23,15WPX1601 0-4-0,1969W-09,1,16,2,8,8-Feb,2-8: 23,63,17,96,2,100,5,2,2,0,1,6,100,2,2,4,8,,7.5,7,6,2,
20NC2_WPALT-2-9,20NC2_WPALT,1c,1,14WPX1515-1-2-4,WA,1,18,2,9,9-Feb,2-9: 1c,66,16,95,4,100,7,3,4,3,4,6,100,6,2,8,5,,6.5,3,8,2,
20NC2_WPALT-2-10,20NC2_WPALT,7,7,14WPX1545-1-0,WA-12,1,20,2,10,10-Feb,2-10: 7,79,15,96,2,100,6,3,5,1,4,3,75,6,2,8,1,very bad stand,6.25,1,8,3,dead
20NC2_WPALT-2-11,20NC2_WPALT,9,9,14WPX1503 1-3-0,WA-14,1,22,2,11,11-Feb,2-11: 9,82,14,95,2,100,6,3,5,1,4,3,90,6,2,8,1,very bad stand,7,1,NA,3,dead
20NC2_WPALT-2-12,20NC2_WPALT,17,Check4,AWP vnsNC,WA-22,1,24,2,12,12-Feb,2-12: 17,90,13,91,2,100,5,2,2,0,0,9,100,2,2,4,8,,6.25,8,6,2,
20NC2_WPALT-3-1,20NC2_WPALT,19,19,14WPX1551 1-3-0,1969W-02,2,25,3,1,1-Mar,3-1: 19,3,25,80,8,100,5,2,2,0,1,7,95,2,3,4,7,,7,9,6,2,
20NC2_WPALT-3-2,20NC2_WPALT,24,24,14WPX1551 1-3-0-0c,1969W-18,2,27,3,2,2-Mar,3-2: 24,14,26,85,6,100,5,2,2,0,1,8,100,3,2,5,7,,6.75,9,6,2,
20NC2_WPALT-3-3,20NC2_WPALT,4b,4,14WPX1553-3-2-2,WA,2,29,3,3,3-Mar,3-3: 4b,19,27,45,7,95,4,2,2,0,0.5,6,90,2,2,5,4,,6.5,8,7,2,
20NC2_WPALT-3-4,20NC2_WPALT,23,23,15WPX1601 0-4-0,1969W-09,2,31,3,4,4-Mar,3-4: 23,30,28,80,3,100,3,2,2,1,1,6,95,2,2,4,5,,7,7,6,2,
20NC2_WPALT-3-5,20NC2_WPALT,21,21,14WPX1548 1-3-0,1969W-10,2,33,3,5,5-Mar,3-5: 21,35,29,85,7,97,5,3,2,1,0.5,6,85,2,2,3,4,bad stand,6.75,6,6,2,
20NC2_WPALT-3-6,20NC2_WPALT,7,7,14WPX1545-1-0,WA-12,2,35,3,6,6-Mar,3-6: 7,46,30,95,1,100,4,3,5,2,4,5,45,3,2,7,1,"tiny plants, bad stand",6.5,1,NA,,not sure if doed of disease
20NC2_WPALT-3-7,20NC2_WPALT,13,13,14WPX1551-1-4-0,WA-18,2,37,3,7,7-Mar,3-7: 13,51,31,90,7,95,5,2,2,1,2,7,60,2,2,5,7,,7.5,9,6,2,
20NC2_WPALT-3-8,20NC2_WPALT,2a,2,14WPX1518-4-2-4-1,WA,2,39,3,8,8-Mar,3-8: 2a,62,32,91,5,100,8,3,4,3,4,5,55,5,2,8,2,"baf stand, small plants",6.5,2,8,3,
20NC2_WPALT-3-9,20NC2_WPALT,10,10,14WPX1552-1-2-0,WA-15,2,41,3,9,9-Mar,3-9: 10,67,33,96,4,90,3,2,2,2,1.5,6,95,2,2,3,6,,6.5,7,6,2,
20NC2_WPALT-3-10,20NC2_WPALT,2b,2,14WPX1518-4-2-4-2,WA,2,43,3,10,10-Mar,3-10: 2b,78,34,93,5,100,8,3,3,1,4,6,80,5,2,7,6,,6.5,5,8,2,
20NC2_WPALT-3-11,20NC2_WPALT,17,Check4,AWP vnsNC,WA-22,2,45,3,11,11-Mar,3-11: 17,83,35,95,2,100,2,1,2,0,2.5,6,80,2,2,2,6,,6.25,8,6,2,
20NC2_WPALT-3-12,20NC2_WPALT,9,9,14WPX1503 1-3-0,WA-14,2,47,3,12,12-Mar,3-12: 9,91,36,89,1,100,4,3,5,1,3,4,50,5,3,8,1,,4.75,1,NA,3,
20NC2_WPALT-4-1,20NC2_WPALT,1c,1,14WPX1515-1-2-4,WA,2,26,4,1,1-Apr,4-1: 1c,4,48,90,5,100,5,3,5,2,4,5,85,5,2,8,4,,7.5,2,8,3,few plants 
20NC2_WPALT-4-2,20NC2_WPALT,25,25,14WPX1552 1-3-0-0,1969W-27,2,28,4,2,2-Apr,4-2: 25,13,47,60,6,100,4,2,2,0,1,8,100,2,2,5,6,,7.25,8,7,2,
20NC2_WPALT-4-3,20NC2_WPALT,12,12,14WPX1550-1-2-0,WA-17,2,30,4,3,3-Apr,4-3: 12,20,46,10,2,100,1,1,2,1,1,7,95,2,2,3,5,,7,8,6,2,
20NC2_WPALT-4-4,20NC2_WPALT,22,22,14WPX1548 1-4-0,1969W-17,2,32,4,4,4-Apr,4-4: 22,29,45,85,1,100,2,3,2,0,0.5,7,80,2,2,3,5,,7.75,6,7,2,
20NC2_WPALT-4-5,20NC2_WPALT,4c,4,14WPX1553-3-2-4,WA-9,2,34,4,5,5-Apr,4-5: 4c,36,44,70,7,100,5,2,2,1,1,8,100,2,2,5,7,,6,6,6,2,
20NC2_WPALT-4-6,20NC2_WPALT,18,Check5,AWP vnsWI,WA-23,2,36,4,6,6-Apr,4-6: 18,45,43,60,5,100,4,1,2,1,2,5,50,2,2,2,3,,6.5,5,6,2,
20NC2_WPALT-4-7,20NC2_WPALT,11,11,14WPX1553-1-1-0,WA-16,2,38,4,7,7-Apr,4-7: 11,52,42,88,7,100,5,2,2,1,1,7,90,2,2,3,7,,6,9,6,2,
20NC2_WPALT-4-8,20NC2_WPALT,26,Check19,WyoWinter,bought,2,40,4,8,8-Apr,4-8: 26,61,41,89,3,95,4,2,2,0,3,6,80,2,2,2,7,,7.5,8,6,2,
