Farm ID	Lat	Lng	Cover Crop	Cash Crop	Station	Date	interval	LitterWaterContent	FOM	FOM Std	FOMpctN	FOMpctN Std	FON	FON Std	FOMpctCarb	Carb Std	FOMpctCell 	Cell Std	FOMpctLign	Lign Std
AMD	32.865389	-82.258361	oat	cotton	130	04/27/2020	0	3.67	2244	1027	1.51	0.13	33.8	15.5	47.76	0.29	47.56	0.05	4.68	0.34
AMD			oat	cotton	130	05/13/2020	1		2298	923	1.12	0.14	25.7	10.3						
AMD			oat	cotton	130	05/28/2020	2		2137	956	0.98	0.05	20.9	9.4						
AMD			oat	cotton	130	06/25/2020	3		1679	657	1.17	0.23	19.6	7.7						
AMD			oat	cotton	130	07/22/2020	4		1504	733	1.09	0.16	16.3	8.0						
AMD			oat	cotton	130	10/23/2020	5		973	596	1.38	1.28	13.4	8.2						
APA	33.57597	-83.52497	rye grass-crimson clover	corn	170	03/19/2020	0	8.90	1611	256	3.63	0.07	58.5	9.3	53.86	0.84	40.06	1.06	6.07	0.22
APA			rye grass-crimson clover	corn	170	04/02/2020	1		1223	92	2.97	0.20	36.4	2.7						
APA			rye grass-crimson clover	corn	170	04/17/2020	2		992	152	2.91	0.29	28.8	4.4						
APA			rye grass-crimson clover	corn	170	05/18/2020	3		744	129	3.03	0.32	22.6	3.9						
APA			rye grass-crimson clover	corn	170	06/17/2020	4		568	91	2.53	0.53	14.4	2.3						
APA			rye grass-crimson clover	corn	170	08/17/2020	5		330	81	3.32	1.12	11.0	2.7						
FDZ	33.10637	-82.11041	cereal rye-cosaque oats	cotton	300	04/01/2020	0	3.38	3201	869	1.30	0.21	41.4	11.3	43.58	1.68	50.78	1.38	5.64	0.30
FDZ			cereal rye-cosaque oats	cotton	300	04/16/2020	1		2091	532	0.96	0.02	20.2	5.1						
FDZ			cereal rye-cosaque oats	cotton	300	04/24/2020	2		3056	1043	1.09	0.11	33.4	11.4						
FDZ			cereal rye-cosaque oats	cotton	300	06/05/2020	3		2232	548	1.25	0.05	27.9	6.9						
FDZ			cereal rye-cosaque oats	cotton	300	06/26/2020	4		1677	397	1.55	0.15	26.0	6.2						
FDZ			cereal rye-cosaque oats	cotton	300	10/21/2020	5		1469	177	1.56	0.15	23.0	2.8						
HYO	32.273694	-81.867222	cereal rye-cosaque oats	cotton	300	03/25/2020	0	4.91	2762	117	1.49	0.13	41.2	1.7	46.04	1.40	49.31	1.48	4.66	0.08
HYO			cereal rye-cosaque oats	cotton	300	04/18/2020	1		3129	227	1.09	0.14	34.0	2.5						
HYO			cereal rye-cosaque oats	cotton	300	05/04/2020	2		2793	550	1.35	0.05	37.6	7.4						
HYO			cereal rye-cosaque oats	cotton	300	05/21/2020	3		2633	158	1.38	0.23	36.3	2.2						
HYO			cereal rye-cosaque oats	cotton	300	06/26/2020	4		1678	299	1.82	0.16	30.5	5.4						
HYO			cereal rye-cosaque oats	cotton	300	08/26/2020	5		1121	319	2.04	1.28	22.9	6.5						
JQU	33.00334	-81.80639	cereal rye	corn	130	04/21/2020	0	3.18	2105	463	1.70	0.13	35.8	7.9	31.57	0.36	61.13	0.69	7.30	0.34
JQU			cereal rye	corn	130	05/04/2020	1		2077	487	1.14	0.14	23.7	5.5						
JQU			cereal rye	corn	130	05/19/2020	2		1864	399	1.21	0.05	22.6	4.8						
JQU			cereal rye	corn	130	06/17/2020	3		1445	410	1.02	0.23	14.8	4.2						
JQU			cereal rye	corn	130	07/22/2020	4		1190	365	1.32	0.16	15.8	4.8						
JQU			cereal rye	corn	130	11/16/2020	5		895	581	1.84	1.28	16.5	10.7						
