Source,State,Species,Cultivar,Fat,CP,Ash,ADF,NDF,NFC,DM,carb,cellulose,lignin,Growth Stage,lab,fy,Site,Sample,name,latitude,longitude,Sampling,Planting,Termination,Block,Zadoks
NY-MD-2015,NY,Barley,Verdant,2.65,21.98,7.65,19.33,32.89,38.66,,,,3.55,,,,Musgrave,,,,,5/1/2015,,,Blk1,30
NY-MD-2015,NY,Barley,Verdant,2.73,18.3,8.3,20.91,34.56,39.59,,,,3.53,,,,Musgrave,,,,,5/1/2015,,,Blk2,31
NY-MD-2015,NY,Barley,Verdant,2.93,22.36,8.65,18.38,32.7,37.56,,,,2.63,,,,Musgrave,,,,,5/1/2015,,,Blk3,31
NY-MD-2015,NY,Barley,Valor,2.71,22.03,7.35,19.88,33.5,38.26,,,,3.62,,,,Musgrave,,,,,5/1/2015,,,Blk1,30
NY-MD-2015,NY,Barley,Valor,2.96,24.5,7.34,16.42,30.55,38.87,,,,2.62,,,,Musgrave,,,,,5/1/2015,,,Blk2,32
NY-MD-2015,NY,Barley,P919,2.97,21.48,7.67,17.76,31.97,39.69,,,,2.57,,,,Musgrave,,,,,5/1/2015,,,Blk1,31
NY-MD-2015,NY,Barley,P919,2.35,20.4,7.11,19,31.13,42.17,,,,3.67,,,,Musgrave,,,,,5/1/2015,,,Blk2,31
NY-MD-2015,NY,Barley,P919,2.68,22.73,8.46,18.28,34.51,35.56,,,,2.55,,,,Musgrave,,,,,5/1/2015,,,Blk3,32
NY-MD-2015,NY,Barley,P919,2.97,21.2,6.77,17.78,30.85,41.74,,,,3.11,,,,Musgrave,,,,,5/1/2015,,,Blk4,31
NY-MD-2015,NY,Barley,Thoroughbred,2.76,20.66,8.19,19.71,33.81,38.31,,,,3.4,,,,Musgrave,,,,,5/1/2015,,,Blk1,31
NY-MD-2015,NY,Barley,Thoroughbred,2.86,22.36,8.82,18.45,33.13,36.96,,,,2.68,,,,Musgrave,,,,,5/1/2015,,,Blk2,31
NY-MD-2015,NY,Barley,Thoroughbred,2.6,21.17,7.91,18.53,31.55,40.31,,,,3.3,,,,Musgrave,,,,,5/1/2015,,,Blk3,31
NY-MD-2015,NY,Barley,Thoroughbred,3.09,21,7.96,19.22,33.16,38.7,,,,2.79,,,,Musgrave,,,,,5/1/2015,,,Blk4,31
NY-MD-2015,NY,Cereal rye,Huron,3.33,21.67,7.88,21.31,40.04,31.86,,,,2.94,,,,Musgrave,,,,,5/1/2015,,,Blk1,31
NY-MD-2015,NY,Cereal rye,Huron,3.26,19.1,7.58,22.57,41.73,32.66,,,,3.08,,,,Musgrave,,,,,5/1/2015,,,Blk2,32
NY-MD-2015,NY,Cereal rye,Huron,3.03,21.65,9.12,22.05,42.28,28.55,,,,2.84,,,,Musgrave,,,,,5/1/2015,,,Blk3,32
NY-MD-2015,NY,Cereal rye,Huron,3.17,19.44,6.86,21.65,39.36,35.5,,,,3.3,,,,Musgrave,,,,,5/1/2015,,,Blk4,31
NY-MD-2015,NY,Cereal rye,Spooner,3.24,19.89,7.39,21.36,39.52,34.28,,,,2.92,,,,Musgrave,,,,,5/1/2015,,,Blk1,32
NY-MD-2015,NY,Cereal rye,Spooner,3.32,21.43,7.69,19.91,36.64,35.47,,,,2.93,,,,Musgrave,,,,,5/1/2015,,,Blk2,32
NY-MD-2015,NY,Cereal rye,Spooner,3.34,16.63,6.92,21.98,38.56,38.16,,,,3.28,,,,Musgrave,,,,,5/1/2015,,,Blk3,32
NY-MD-2015,NY,Cereal rye,Spooner,3.12,20.87,6.76,18.18,32.21,40.71,,,,3.36,,,,Musgrave,,,,,5/1/2015,,,Blk4,31
NY-MD-2015,NY,Cereal rye,Aroostook,3.34,23.31,8.37,22.4,41.85,28.25,,,,2.69,,,,Musgrave,,,,,5/1/2015,,,Blk1,32
NY-MD-2015,NY,Cereal rye,Aroostook,3.34,19.14,6.81,23.44,43.16,31.81,,,,2.95,,,,Musgrave,,,,,5/1/2015,,,Blk2,32
NY-MD-2015,NY,Cereal rye,Aroostook,3.23,20.76,8.41,23.63,43.42,28.85,,,,2.9,,,,Musgrave,,,,,5/1/2015,,,Blk3,32
NY-MD-2015,NY,Cereal rye,Aroostook,3.35,21.41,6.82,22.09,40.94,32.03,,,,2.85,,,,Musgrave,,,,,5/1/2015,,,Blk4,32
NY-MD-2015,NY,Cereal rye,LakeviewVNS,3.25,19.92,6.78,20.57,39.13,35.17,,,,2.83,,,,Musgrave,,,,,5/1/2015,,,Blk1,31
NY-MD-2015,NY,Cereal rye,LakeviewVNS,3.41,20.41,7.02,20.35,36.51,36.96,,,,3.11,,,,Musgrave,,,,,5/1/2015,,,Blk2,31
NY-MD-2015,NY,Cereal rye,LakeviewVNS,3.3,22.47,7.23,20.86,39.46,32.01,,,,2.65,,,,Musgrave,,,,,5/1/2015,,,Blk3,32
NY-MD-2015,NY,Cereal rye,LakeviewVNS,3.05,22.03,6.77,19.12,34.77,37.54,,,,3.28,,,,Musgrave,,,,,5/1/2015,,,Blk4,31
NY-MD-2015,NY,Triticale,TriCal815,3.1,18.09,8.13,20.83,36.2,37.9,,,,2.91,,,,Musgrave,,,,,5/1/2015,,,Blk1,31
NY-MD-2015,NY,Triticale,TriCal815,3.01,16.13,6.55,20.66,32.85,44.5,,,,4,,,,Musgrave,,,,,5/1/2015,,,Blk2,31
NY-MD-2015,NY,Triticale,TriCal815,3.07,17.41,8.16,22.82,39.04,35.69,,,,3.13,,,,Musgrave,,,,,5/1/2015,,,Blk3,32
NY-MD-2015,NY,Triticale,TriCal815,3.24,17.26,7,19.68,33.32,42.53,,,,3.43,,,,Musgrave,,,,,5/1/2015,,,Blk4,31
NY-MD-2015,NY,Triticale,TriCal718,3.28,21.61,8.4,18.9,34.54,36.28,,,,3,,,,Musgrave,,,,,5/1/2015,,,Blk1,31
NY-MD-2015,NY,Triticale,TriCal718,3.03,20.47,8.69,19.54,34.72,36.97,,,,3.32,,,,Musgrave,,,,,5/1/2015,,,Blk2,31
NY-MD-2015,NY,Triticale,TriCal718,3.04,17.99,6.79,19.77,33.32,42.02,,,,3.45,,,,Musgrave,,,,,5/1/2015,,,Blk3,31
NY-MD-2015,NY,Triticale,TriCal718,2.95,21.4,7.06,18.02,32.58,39.63,,,,3.11,,,,Musgrave,,,,,5/1/2015,,,Blk4,31
NY-MD-2015,NY,Triticale,NE426GT,2.99,20.22,7.22,19.43,34.4,38.7,,,,3.19,,,,Musgrave,,,,,5/1/2015,,,Blk1,31
NY-MD-2015,NY,Triticale,NE426GT,2.9,19.9,5.56,17.77,30.09,44.68,,,,3.46,,,,Musgrave,,,,,5/1/2015,,,Blk2,31
NY-MD-2015,NY,Triticale,NE426GT,2.77,20.5,8.63,19.74,36.13,35.39,,,,2.96,,,,Musgrave,,,,,5/1/2015,,,Blk3,32
NY-MD-2015,NY,Triticale,NE426GT,2.87,19.45,7.14,18.58,31.98,41.88,,,,3.29,,,,Musgrave,,,,,5/1/2015,,,Blk4,31
NY-MD-2015,NY,Triticale,TriMark099,3.07,18.28,6.6,18.36,31.42,43.72,,,,3.39,,,,Musgrave,,,,,5/1/2015,,,Blk1,31
NY-MD-2015,NY,Triticale,TriMark099,3.14,19.16,6.39,18.85,32.71,42.03,,,,3.43,,,,Musgrave,,,,,5/1/2015,,,Blk2,31
NY-MD-2015,NY,Triticale,TriMark099,3.08,20.21,7.94,19.85,36.32,36.11,,,,2.75,,,,Musgrave,,,,,5/1/2015,,,Blk3,31
NY-MD-2015,NY,Triticale,TriMark099,2.61,18.03,9,19.69,34.27,39.15,,,,3.82,,,,Musgrave,,,,,5/1/2015,,,Blk4,31
NY-MD-2015,NY,Barley,Verdant,2.97,22.38,8.3,19.93,35.83,34.91,,,,2.64,,,,Musgrave,,,,,5/5/2015,,,Blk1,31
